"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         186,      -11.93597734,      -11.89621676,      -11.70656508,      -12.48999558,      -11.36549455
          0,           0,         187,      -11.95126542,      -11.91582938,      -11.68722007,      -12.55327261,      -11.38253525
          0,           0,         188,      -11.95792261,      -11.92232422,      -11.69993778,      -12.57718568,       -11.3878097
          0,           0,         189,      -11.93925007,      -11.89818494,      -11.70704686,      -12.43154099,      -11.36822787
          0,           0,         190,       -11.9493467,      -11.91342035,      -11.68771172,      -12.56357273,      -11.38065019
          0,           0,         191,      -11.96016511,      -11.92517172,      -11.70033223,      -12.66020075,      -11.38997874
          0,           0,         192,      -11.95057541,      -11.91368154,      -11.70774437,      -12.63237696,       -11.3796611
          0,           0,         193,       -11.9335041,      -11.89387489,      -11.70952953,      -12.47225664,      -11.36275116
          0,           0,         194,      -11.94823073,      -11.91404331,      -11.68643087,      -12.57717165,      -11.37995453
          0,           0,         195,      -11.96032981,      -11.92678093,      -11.69941216,      -12.66720543,      -11.39048207
          0,           0,         196,       -11.9513646,      -11.91566122,      -11.70734433,      -12.64347792,      -11.38062263
          0,           0,         197,      -11.93682173,      -11.89905565,      -11.70949449,       -12.5206489,      -11.36614975
          0,           0,         198,      -11.93366773,      -11.89322431,      -11.68489158,      -12.31042389,      -11.36504052
          0,           0,         199,      -11.94553132,      -11.90757599,      -11.69866883,      -12.48046487,      -11.37611951
          0,           0,         200,      -11.95271451,      -11.91601916,      -11.70027241,      -12.57994284,      -11.38221417
          0,           0,         201,       -11.9465234,      -11.90916789,      -11.70690051,      -12.57725363,      -11.37547445
          0,           0,         202,      -11.94315856,      -11.90623952,      -11.70614375,      -12.56890949,      -11.37201189
          0,           0,         203,      -11.94514442,      -11.90732642,      -11.68589076,       -12.4006821,      -11.37615437
          0,           0,         204,      -11.95157145,      -11.91535345,      -11.69947556,      -12.56484524,      -11.38165681
          0,           0,         205,      -11.94860113,      -11.91202027,      -11.70741669,      -12.63443126,      -11.37760787
          0,           0,         206,      -11.93914845,      -11.90221105,      -11.70970686,      -12.58596278,      -11.36824184
          0,           0,         207,      -11.94585213,       -11.9099994,      -11.68620247,      -12.46281765,      -11.37730714
          0,           0,         208,      -11.95483088,      -11.91747376,      -11.69878242,      -12.45279344,      -11.38497005
          0,           0,         209,      -11.94185182,      -11.90413441,      -11.70715915,      -12.59765366,      -11.37108858
          0,           0,         210,      -11.95472086,      -11.92040274,      -11.68766901,      -12.61915845,       -11.3859272
          0,           0,         211,      -11.96108457,      -11.92628077,      -11.70030522,      -12.65169055,      -11.39098396
          0,           0,         212,      -11.94715477,      -11.90886769,      -11.70768952,      -12.55329307,      -11.37620867
          0,           0,         213,      -11.95571002,      -11.92126373,      -11.68795468,      -12.62636342,      -11.38698167
          0,           0,         214,      -11.96296938,      -11.92869984,      -11.70041769,      -12.68522571,      -11.39283843
          0,           0,         215,      -11.95253657,      -11.91632931,       -11.7077014,      -12.64538424,      -11.38167218
          0,           0,         216,      -11.93918815,      -11.90186737,      -11.70962591,       -12.5387455,       -11.3684662
          0,           0,         217,      -11.94043065,        -11.902186,      -11.68547152,      -12.36951646,      -11.37187073
          0,           0,         218,      -11.95151684,      -11.91513251,      -11.69897119,      -12.53795588,      -11.38197204
          0,           0,         219,      -11.94856317,      -11.91228688,      -11.70728051,      -12.62949228,      -11.37786656
          0,           0,         220,      -11.93904356,       -11.9024383,      -11.70974492,      -12.59513917,      -11.36828474
          0,           0,         221,      -11.94559013,       -11.9099734,       -11.6861372,      -12.46261026,      -11.37709669
          0,           0,         222,      -11.92436924,        -11.877842,      -11.69613202,      -12.22079133,      -11.35434528
