"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         168,      -5.990357778,      -4.027604452,      -4.242291388,      -3.882443962,      -9.839143937
          0,           0,         169,      -5.998690246,      -4.028601171,      -4.244398937,      -3.902656049,      -9.834693557
          0,           0,         170,      -5.997489567,      -4.029722025,      -4.246444623,      -3.918660564,      -9.830127504
          0,           0,         171,       -5.98578748,      -4.030948197,      -4.248470108,      -3.926966763,      -9.825436772
          0,           0,         172,      -5.965279843,      -4.032239015,      -4.250496991,      -3.925511004,      -9.820619403
          0,           0,         173,      -5.939621914,      -4.033535266,      -4.252521444,      -3.914884617,      -9.815658024
          0,           0,         174,      -5.912839927,      -4.034766027,      -4.254517301,      -3.898017936,      -9.810539638
          0,           0,         175,      -5.888174616,      -4.035857674,      -4.256445742,      -3.878680755,       -9.80526622
          0,           0,         176,      -5.867744269,      -4.036743274,      -4.258268154,      -3.860122633,      -9.799845922
          0,           0,         177,      -5.852693532,      -4.037370519,      -4.259958243,      -3.844512754,      -9.794313925
          0,           0,         178,      -5.843465564,      -4.037706746,      -4.261509983,      -3.832974504,        -9.7886683
          0,           0,         179,       -5.84003192,      -4.037740311,      -4.262939436,      -3.825832017,      -9.782906608
          0,           0,         180,      -5.842047378,      -4.037478503,      -4.264280369,      -3.822859263,      -9.777074285
          0,           0,         181,      -5.848946242,      -4.036942967,      -4.265575359,        -3.8234778,      -9.771183497
          0,           0,         182,       -5.86000587,      -4.036164027,      -4.266865163,      -3.826914661,      -9.765253785
          0,           0,         183,      -5.874399278,      -4.035175376,      -4.268179309,      -3.832341912,      -9.759301049
          0,           0,         184,      -5.891250671,      -4.034010186,      -4.269530191,      -3.839005866,      -9.753324488
          0,           0,         185,      -5.909696803,      -4.032699134,       -4.27091182,      -3.846333996,      -9.747270211
          0,           0,         186,      -5.928944374,      -4.031270246,      -4.272303093,      -3.853994973,      -9.741152102
          0,           0,         187,      -5.948303561,      -4.029749953,      -4.273674333,      -3.861891477,      -9.735004568
          0,           0,         188,      -5.967177857,      -4.028164552,      -4.274995172,      -3.870085973,      -9.728797511
          0,           0,         189,      -5.985005615,      -4.026541265,      -4.276241682,      -3.878683383,      -9.722554783
          0,           0,         190,      -6.001175588,      -4.024908336,      -4.277401037,      -3.887707221,      -9.716320564
          0,           0,         191,      -6.014965589,      -4.023293963,      -4.278472754,      -3.897003937,      -9.710110551
          0,           0,         192,      -6.025564019,      -4.021724229,      -4.279466606,      -3.906201004,       -9.70389327
          0,           0,         193,      -6.032211529,      -4.020220485,      -4.280398127,      -3.914734083,      -9.697670037
          0,           0,         194,      -6.034436721,      -4.018796794,      -4.281283208,      -3.921946225,      -9.691443559
          0,           0,         195,      -6.032281116,      -4.017458004,      -4.282133367,      -3.927241303,      -9.685238135
          0,           0,         196,      -6.026382423,      -4.016198914,      -4.282952911,      -3.930246406,      -9.679084866
          0,           0,         197,      -6.017858557,      -4.015004711,      -4.283738589,      -3.930920846,      -9.672984731
          0,           0,         198,      -6.008055599,      -4.013852659,      -4.284481624,      -3.929564558,       -9.66666491
          0,           0,         199,      -5.998284146,      -4.012714733,      -4.285171377,      -3.926725222,      -9.660190892
          0,           0,         200,       -5.98963558,       -4.01156079,      -4.285799549,      -3.923049899,      -9.653630333
          0,           0,         201,      -5.982900009,      -4.010361739,       -4.28636371,      -3.919141414,       -9.64703708
          0,           0,         202,      -5.978561326,      -4.009092271,      -4.286869229,      -3.915460891,      -9.640415785
          0,           0,         203,      -5.976834588,      -4.007732791,      -4.287329123,      -3.912288582,      -9.633701317
          0,           0,         204,      -5.977720055,      -4.006270385,      -4.287761918,       -3.90973425,      -9.626925318
          0,           0,         205,      -5.981060315,      -4.004698872,      -4.288188098,      -3.907780202,      -9.620081934
