"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         149,      -6.827569277,      -5.362656153,      -6.083940356,      -5.324694388,       -7.73194539
          0,           0,         150,      -6.831837312,      -5.367574232,      -6.080133607,      -5.328566045,      -7.737357072
          0,           0,         151,      -6.836525981,      -5.372661708,      -6.076930857,      -5.332597576,      -7.742920551
          0,           0,         152,      -6.841639614,      -5.377930279,      -6.074354396,      -5.336803591,      -7.748623449
          0,           0,         153,      -6.847181701,      -5.383390508,      -6.072422429,      -5.341197861,      -7.754435407
          0,           0,         154,       -6.85315502,      -5.389051747,      -6.071149753,      -5.345793279,      -7.760348109
          0,           0,         155,      -6.859561721,      -5.394922063,      -6.070548232,      -5.350601797,      -7.766368853
          0,           0,         156,      -6.866403442,      -5.401008121,      -6.070627517,      -5.355634375,       -7.77248673
          0,           0,         157,      -6.873681275,      -5.407315076,      -6.071395719,      -5.360900942,      -7.778692076
          0,           0,         158,      -6.881395632,      -5.413846778,      -6.072859705,      -5.366410344,      -7.784973575
          0,           0,         159,      -6.889546297,      -5.420605527,      -6.075025559,      -5.372170587,      -7.791320233
          0,           0,         160,       -6.89813179,      -5.427592082,      -6.077898067,      -5.378188693,      -7.797718273
          0,           0,         161,      -6.907150141,      -5.434805662,      -6.081481764,      -5.384470772,       -7.80416182
          0,           0,         162,      -6.916597582,      -5.442243808,      -6.085780126,       -5.39102172,      -7.810640497
          0,           0,         163,      -6.926469763,      -5.449902561,      -6.090796342,      -5.397845591,      -7.817145327
          0,           0,         164,      -6.936760823,      -5.457776244,      -6.096532305,      -5.404945345,      -7.823666121
          0,           0,         165,      -6.947463666,      -5.465857473,       -6.10298889,      -5.412322887,      -7.830190898
          0,           0,         166,      -6.958570772,       -5.47413734,      -6.110166502,      -5.419979039,      -7.836715402
          0,           0,         167,      -6.970072506,      -5.482605056,      -6.118063715,      -5.427913178,      -7.843232566
          0,           0,         168,      -6.981958208,      -5.491248225,      -6.126677819,      -5.436123017,      -7.849734918
          0,           0,         169,      -6.994216208,      -5.500053042,       -6.13600516,      -5.444604169,      -7.856216262
          0,           0,         170,      -7.006831806,      -5.509003891,      -6.146040266,      -5.453350088,      -7.862672626
          0,           0,         171,      -7.019788588,      -5.518083835,      -6.156776188,      -5.462351305,      -7.869095484
          0,           0,         172,      -7.033067878,      -5.527274883,      -6.168204486,      -5.471595181,      -7.875486009
          0,           0,         173,      -7.046647309,      -5.536557569,      -6.180314911,         -5.481067,      -7.881841897
          0,           0,         174,      -7.060502368,      -5.545911643,      -6.193095211,      -5.490748678,      -7.888140816
          0,           0,         175,      -7.074605771,      -5.555316329,      -6.206530864,      -5.500619676,      -7.894396848
          0,           0,         176,      -7.088927458,      -5.564749973,      -6.220604966,      -5.510659294,      -7.900608005
          0,           0,         177,      -7.103435935,      -5.574190917,      -6.235296995,       -5.52084446,      -7.906781512
          0,           0,         178,      -7.118097893,      -5.583617653,      -6.250582105,      -5.531152011,      -7.912914441
          0,           0,         179,      -7.132879072,       -5.59300875,      -6.266430866,      -5.541559903,       -7.91901019
          0,           0,         180,      -7.147744296,      -5.602343859,      -6.282807369,      -5.552044475,       -7.92506799
          0,           0,         181,      -7.162657763,      -5.611603491,      -6.299668975,      -5.562583602,      -7.931078922
          0,           0,         182,      -7.177582963,      -5.620769636,      -6.316964871,      -5.573154627,      -7.937044549
          0,           0,         183,      -7.192482647,       -5.62982641,      -6.334635173,      -5.583734041,      -7.942986602
          0,           0,         184,      -7.207319911,      -5.638759618,      -6.352610215,      -5.594299965,      -7.948901325
          0,           0,         185,      -7.222057771,      -5.647558071,      -6.370809923,      -5.604827849,      -7.954784649
          0,           0,         186,      -7.236661078,      -5.656212683,      -6.389144079,      -5.615294833,      -7.960640888
          0,           0,         187,      -7.251093878,      -5.664717828,       -6.40751476,      -5.625674866,      -7.966478818
          0,           0,         188,      -7.265319345,      -5.673070718,      -6.425817157,      -5.635943216,      -7.972304362
          0,           0,         189,      -7.279297302,      -5.681272481,      -6.443941841,      -5.646075374,      -7.978118215
          0,           0,         190,      -7.292989079,      -5.689327769,      -6.461773965,      -5.656052367,      -7.983921879
          0,           0,         191,      -7.306360061,      -5.697244735,      -6.479196164,      -5.665861036,      -7.989725714
          0,           0,         192,      -7.319381703,      -5.705034918,      -6.496094112,      -5.675493927,      -7.995534619
          0,           0,         193,      -7.332032021,      -5.712712491,      -6.512358508,      -5.684948702,      -8.001350508
          0,           0,         194,      -7.344294553,      -5.720293183,      -6.527885832,      -5.694226132,      -8.007180763
          0,           0,         195,      -7.356156727,      -5.727795204,      -6.542600399,       -5.70332797,      -8.013035334
          0,           0,         196,      -7.367612035,      -5.735238413,       -6.55645072,      -5.712260915,      -8.018919192
          0,           0,         197,      -7.378659499,      -5.742643952,      -6.569411852,      -5.721036475,      -8.024831505
          0,           0,         198,      -7.389303333,      -5.750033831,      -6.581486985,      -5.729670351,      -8.030779793
          0,           0,         199,      -7.399552362,      -5.757430535,      -6.592707881,      -5.738181516,      -8.036775771
          0,           0,         200,      -7.409419144,       -5.76485663,      -6.603133038,      -5.746591315,      -8.042825764
          0,           0,         201,      -7.418919109,      -5.772334411,      -6.612844406,      -5.754922805,      -8.048929848
          0,           0,         202,      -7.428069707,      -5.779885563,      -6.621942791,       -5.76320024,      -8.055096548
          0,           0,         203,      -7.436889795,      -5.787530866,      -6.630542481,      -5.771448747,      -8.061332652
          0,           0,         204,      -7.445399276,      -5.795289898,      -6.638765544,      -5.779694096,      -8.067644307
          0,           0,         205,      -7.453619044,      -5.803180771,      -6.646736402,      -5.787962529,      -8.074027263
          0,           0,         206,      -7.461571084,      -5.811219869,      -6.654577052,      -5.796280546,      -8.080492261
          0,           0,         207,      -7.469278517,       -5.81942168,      -6.662403245,      -5.804674557,      -8.087040894
          0,           0,         208,      -7.476765545,      -5.827798618,      -6.670321721,      -5.813170395,      -8.093673982
          0,           0,         209,      -7.484057229,      -5.836360901,      -6.678428426,      -5.821792763,      -8.100377714
          0,           0,         210,       -7.49117903,      -5.845116454,       -6.68680758,      -5.830564616,      -8.107181831
          0,           0,         211,      -7.498156207,      -5.854070888,      -6.695531052,      -5.839506571,      -8.114056523
          0,           0,         212,      -7.505013482,       -5.86322745,      -6.704658474,       -5.84863644,       -8.12103259
          0,           0,         213,      -7.511774401,      -5.872587108,      -6.714237545,      -5.857968869,      -8.128105448
          0,           0,         214,      -7.518460982,      -5.882148573,      -6.724304318,      -5.867515031,      -8.135275142
          0,           0,         215,      -7.525093562,      -5.891908385,      -6.734883615,      -5.877282423,      -8.142541227
          0,           0,         216,      -7.531690683,      -5.901861009,      -6.745989558,      -5.887274654,      -8.149901491
          0,           0,         217,      -7.538269009,      -5.911998941,      -6.757625763,      -5.897491332,        -8.1573531
          0,           0,         218,      -7.544843277,      -5.922312816,      -6.769785393,      -5.907928281,      -8.164895995
          0,           0,         219,      -7.551426104,      -5.932791515,      -6.782450131,      -5.918578446,       -8.17252982
          0,           0,         220,       -7.55802809,      -5.943422336,      -6.795588641,      -5.929433652,      -8.180252743
          0,           0,         221,      -7.564658858,      -5.954191227,      -6.809158216,      -5.940485497,      -8.188062924
          0,           0,         222,      -7.571328888,      -5.965083016,      -6.823103562,      -5.951723782,      -8.195958301
          0,           0,         223,      -7.578049447,      -5.976081707,      -6.837360548,      -5.963134754,      -8.203936716
          0,           0,         224,      -7.584830244,      -5.987170644,      -6.851858874,      -5.974698675,      -8.211995881
          0,           0,         225,      -7.591677972,      -5.998332747,      -6.866523029,      -5.986390552,       -8.22013332
          0,           0,         226,      -7.598596608,      -6.009550804,      -6.881272798,      -5.998182466,      -8.228346415
          0,           0,         227,      -7.605588602,      -6.020807758,      -6.896024444,      -6.010045384,      -8.236632787
          0,           0,         228,      -7.612655814,       -6.03208697,      -6.910692459,      -6.021950278,      -8.244989353
          0,           0,         229,      -7.619800138,       -6.04337244,      -6.925192279,        -6.0338685,      -8.253413223
          0,           0,         230,      -7.627023636,      -6.054648997,      -6.939443395,      -6.045772016,      -8.261901464
          0,           0,         231,      -7.634328636,      -6.065902524,      -6.953373218,      -6.057633832,      -8.270454808
          0,           0,         232,      -7.641717419,      -6.077119994,      -6.966919139,      -6.069428155,      -8.279059701
          0,           0,         233,      -7.649192439,      -6.088289734,        -6.9800342,      -6.081131266,       -8.28772303
          0,           0,         234,       -7.65675594,      -6.099401254,      -6.992686332,      -6.092722019,      -8.296440155
          0,           0,         235,      -7.664410201,      -6.110445486,      -7.004862805,      -6.104182292,      -8.305208932
          0,           0,         236,      -7.672157503,      -6.121414833,      -7.016570215,      -6.115498139,       -8.31402724
          0,           0,         237,      -7.679999685,      -6.132302849,      -7.027832138,      -6.126659614,       -8.32289275
          0,           0,         238,      -7.687938232,      -6.143104439,       -7.03868937,      -6.137660746,      -8.331803499
          0,           0,         239,       -7.69597379,       -6.15381583,      -7.049196756,      -6.148499615,      -8.340758481
          0,           0,         240,      -7.704105937,      -6.164434516,      -7.059419942,      -6.159177674,       -8.34975515
          0,           0,         241,      -7.712332997,      -6.174959195,      -7.069432036,      -6.169698785,      -8.358791261
          0,           0,         242,      -7.720651831,      -6.185389697,      -7.079310415,      -6.180068232,      -8.367868207
          0,           0,         243,      -7.729057748,      -6.195726839,      -7.089133878,      -6.190291926,      -8.376984304
          0,           0,         244,      -7.737544626,      -6.205972213,      -7.098980189,      -6.200376057,      -8.386138576
          0,           0,         245,      -7.746105261,      -6.216127911,      -7.108923961,       -6.21032726,      -8.395330404
          0,           0,         246,      -7.754731936,      -6.226196216,      -7.119034786,      -6.220153124,      -8.404559571
          0,           0,         247,      -7.763417102,      -6.236179318,       -7.12937548,      -6.229862724,      -8.413826871
          0,           0,         248,      -7.772153961,       -6.24607907,      -7.140000433,      -6.239466814,      -8.423132621
          0,           0,         249,      -7.780936822,      -6.255896825,         -7.150954,      -6.248977533,       -8.43247756
