"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         32,           9,      -7.596174839,      -3.783605727,      -3.506329258,       -1.85326072,       -2.55523184,      0.9329898399,      0.5438650412,      0.9804154592,                 0,                 0,                 0,      0.1210081239,      0.2334549864,       1.096586716,                 0,        1.80268152,      0.9123068534,      -2.334591865,      -1.288285721,      -1.136831363,      -2.074707339,      -1.468779714,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,           9,      -7.596104607,      -3.695561271,      -3.555612592,      -1.763674181,      -2.498673847,      0.9329898399,      0.5332370706,      0.9153236379,                 0,                 0,                 0,      0.1070243031,      0.2423224143,        1.03123178,                 0,       1.716541644,      0.8588531444,      -2.348219677,      -1.216954303,      -1.210951816,      -1.997570528,      -1.455167287,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,           9,      -7.582782525,      -3.616378979,      -3.660651393,      -1.680801714,      -2.606918181,      0.9329898399,      0.5166848132,      0.8542038868,                 0,                 0,                 0,     0.09174824659,      0.2443630977,      0.9679432592,                 0,        1.65323978,      0.7136684539,       -2.34832898,      -1.155477929,       -1.33969825,      -1.927329448,      -1.602373586,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,           9,      -7.599571864,      -3.595773077,       -3.71112464,      -1.662752668,      -2.700928511,      0.9329898399,      0.5040281336,      0.8214570837,                 0,                 0,                 0,     0.08930184468,      0.2418336934,      0.9329268806,                 0,        1.62978419,      0.6438685263,      -2.377940652,      -1.153107581,      -1.412664598,      -1.921962183,       -1.73090901,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,           9,      -7.662963108,      -3.579853108,      -3.731727312,      -1.656680178,      -2.866115083,      0.9329898399,      0.4961511272,      0.8141762732,                 0,                 0,                 0,     0.09343624767,      0.2364295777,      0.9236611931,                 0,       1.640984427,      0.6539433993,      -2.453835501,      -1.154488088,      -1.453936327,      -1.928580417,      -1.927103187,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,           9,      -7.581027234,      -3.615677024,      -3.748584172,      -1.658073257,      -2.911697885,      0.9329898399,       0.493564922,       0.831656195,                 0,                 0,                 0,      0.1004533972,      0.2288457428,      0.9396211923,                 0,       1.684998585,      0.6467430491,      -2.384077992,      -1.205976514,      -1.489294796,      -1.942578557,      -1.993608621,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,           9,      -7.598996159,      -3.649354588,      -3.735271424,      -1.683176847,      -2.994604085,      0.9329898399,      0.5004868596,      0.8724248577,                 0,                 0,                 0,      0.1118917276,      0.2235456212,       0.980632237,                 0,       1.743152375,      0.7258325279,      -2.413211164,      -1.254034556,      -1.492176273,      -1.979718612,      -2.094213467,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,           9,      -7.652287632,      -3.690694655,      -3.772614509,      -1.755603585,      -3.059709059,      0.9329898399,      0.5134530801,      0.9215290341,                 0,                 0,                 0,      0.1261807625,      0.2215886078,        1.03138175,                 0,       1.794767759,      0.7461083826,      -2.477310453,      -1.309443906,      -1.543334786,      -2.063853557,      -2.172311437,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,           9,      -7.648010608,       -3.78074049,      -3.843576349,      -1.860312566,      -2.951315875,      0.9329898399,      0.5294598067,      0.9688052844,                 0,                 0,                 0,      0.1417295369,      0.2230736787,       1.081272167,                 0,        1.82979949,       0.714972692,      -2.483211283,      -1.413303912,      -1.625857969,       -2.17939772,      -2.081618609,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,           9,      -7.670692928,      -3.803063415,      -3.861645587,      -1.882971068,       -2.86853655,      0.9329898399,      0.5430934655,      0.9987770833,                 0,                 0,                 0,      0.1515563953,      0.2273487055,       1.113920437,                 0,       1.839051925,      0.7564914413,       -2.51484205,      -1.448977646,      -1.653886707,      -2.211947417,      -2.005912463,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
